artist,related_artists
Abilene,"['Radio Flyer', 'Drill for Absentee', 'SHOTMAKER', 'Grain', 'Prozac Memory', 'The Crownhate Ruin', 'Ten Grand', 'The Sorts', 'Greyhouse', 'Lincoln', 'Luck Of Aleia', 'Ativin', 'Orwell', 'Hoover', 'The Vehicle Birth', 'Lustre King', 'Oswego', 'Traluma', 'Kerosene 454', 'Giants Chair']"
Accept,"['U.D.O.', 'Saxon', 'Warlock', 'Running Wild', 'Halford', 'W.A.S.P.', 'Metal Church', 'Doro', 'Grave Digger', 'Manowar', 'Savatage', 'Gamma Ray', 'Anvil', 'Overkill', 'Krokus', 'Helloween', 'King Diamond', 'Annihilator', 'Mercyful Fate', 'Primal Fear']"
Aceyalone,"['Abstract Rude', ""Haiku D'Etat"", 'Myka 9', 'Scarub', 'Visionaries', 'Sunspot Jonz', '3 Melancholy Gypsys', 'Pep Love', 'Eligh', 'Freestyle Fellowship', 'Gift Of Gab', 'Mr. Lif', 'Soul Position', 'The Grouch', 'AWOL One', 'The Grouch & Eligh', 'Casual', 'Latyrx', 'Living Legends', 'Blueprint']"
Adam & The Ants,"['Adam Ant', 'Bow Wow Wow', 'The Boomtown Rats', 'Fun Boy Three', 'Toyah', 'Altered Images', 'Haircut 100', 'Heaven 17', 'Soft Cell', 'Big Country', 'Tubeway Army', 'Big Audio Dynamite', 'ABC', 'Ultravox', 'Kajagoogoo', 'Thompson Twins', 'The Beat', 'Wall Of Voodoo', ""Hazel O'Connor"", 'Thomas Dolby']"
Adam Ant,"['Adam & The Ants', 'Bow Wow Wow', 'Missing Persons', 'Thomas Dolby', ""'Til Tuesday"", 'General Public', 'Modern English', 'Wall Of Voodoo', 'The Fixx', 'Big Audio Dynamite', 'Altered Images', 'The Motels', 'Haircut 100', 'Thompson Twins', 'The English Beat', 'Kajagoogoo', 'Men Without Hats', 'The Boomtown Rats', ""The Go-Go's"", 'Big Country']"
Adam F,"['Grooverider', 'J Majik', 'Alex Reece', 'Ram Trilogy', 'Lemon D', 'Krust', 'Doc Scott', 'Dillinja', 'Optical', 'Ray Keith', 'Origin Unknown', 'Moving Fusion', 'DJ Die', 'Ed Rush', 'Mampi Swift', 'Shimon', 'Total Science', 'The Ganja Kru', 'DJ Hype', 'Bad Company UK']"
Adamski,"[""S'Express"", 'Beats International', 'Bass-o-Matic', 'The Shamen', 'Utah Saints', 'Yazz', 'Urban Cookie Collective', 'Altern 8', 'Bomb The Bass', 'K-Klass', 'N Joi', 'Bizarre Inc', 'M/A/R/R/S', 'Tony Di Bart', 'D:Ream', 'Rozalla', 'Brothers In Rhythm', 'Felix', 'The Adventures Of Stevie V', 'SL2']"
Adele,"['Mattyeux', 'Videoclub', 'Alice et Moi', 'Zélie', 'Adé', 'Clio', 'Yoa', 'Styleto', 'Iliona', 'Vendredi sur Mer', 'Pomme', 'Requin Chagrin', 'Johnny Jane', 'Julien Granel', 'ANAÏS MVA', 'Maxence', 'Lujipeka', 'Therapie TAXI', 'Olympe Chabert', 'Clementine']"
Adnan Sami,"['Abhijeet Sawant', 'Anu Malik', 'Vishal Bhardwaj', 'Falguni Pathak', 'Kunal Ganjawala', 'Shaan', 'Alisha Chinai', 'Himesh Reshammiya', 'Salim–Sulaiman', 'Shafqat Amanat Ali', 'Pankaj Udhas', 'Daler Mehndi', 'Roop Kumar Rathod', 'Farhan Akhtar', 'Abhijeet', 'Bappi Lahiri', 'R. D. Burman', 'Harshdeep Kaur', 'Usha Uthup', 'Javed Ali']"
Adolescents,"['Circle Jerks', 'T.S.O.L.', 'Agent Orange', 'Wasted Youth', 'D.I.', 'Germs', 'Fear', 'Reagan Youth', 'Gang Green', 'MDC', '7 Seconds', 'Subhumans', 'JFA', 'D.O.A.', 'Zero Boys', 'GBH', 'Minor Threat', 'Gorilla Biscuits', 'Youth Brigade', 'The Adicts']"
Adoniran Barbosa,"['Noel Rosa', 'Nelson Cavaquinho', 'Pixinguinha', 'Cartola', 'Nelson Sargento', 'Paulinho Da Viola', 'Ataulfo Alves', 'Dorival Caymmi', 'Jackson Do Pandeiro', 'Os Originais Do Samba', 'Clementina De Jesus', 'Wilson Simonal', 'Nelson Gonçalves', 'Zé Keti', 'Moreira Da Silva', 'Bezerra Da Silva', 'Clara Nunes', 'Dona Ivone Lara', 'Jair Rodrigues', 'Jamelão']"
Adrian Belew,"['Tony Levin', 'Trey Gunn', 'Bill Bruford', 'Stick Men', 'Robert Fripp', ""Bill Bruford's Earthworks"", 'The Bears', 'Andy Summers', 'Bozzio Levin Stevens', 'U.K.', 'John Wetton', 'Phil Manzanera', 'Terry Bozzio', 'Chris Squire', 'Steve Howe', 'Brand X', 'The Crimson ProjeKCt', 'Pat Mastelotto', 'Bruford', 'Peter Hammill']"
Adrian Sherwood,"['On-U Sound', 'New Age Steppers', 'Creation Rebel', 'Dub Syndicate', 'Tackhead', 'African Head Charge', 'Audio Active', 'Revolutionary Dub Warriors', 'Gary Clail', 'Mark Stewart', 'Keith Leblanc', 'Twilight Circus Dub Sound System', 'Mark Stewart & The Maffia', 'Singers And Players', 'Denise Sherwood', 'Bim Sherman', 'Sherwood & Pinch', 'Dennis Bovell', 'Jah Wobble', 'Jah Shaka']"
Adriana Calcanhotto,"['Zélia Duncan', 'Fernanda Takai', 'Marina Lima', 'Maria Rita', 'Zizi Possi', 'Vanessa Da Mata', 'Lenine', 'Paula Toller', 'Ana Cañas', 'Arnaldo Antunes', 'Ana Carolina', 'Ney Matogrosso', 'Luiza Possi', 'Zeca Baleiro', 'Tribalistas', 'Marisa Monte', 'Fernanda Abreu', 'Maria Gadú', 'Jorge Vercillo', 'Elba Ramalho']"
