artist,related_artists
Lightnin' Hopkins,"['J.B. Lenoir', 'Big Joe Williams', 'Son House', 'Champion Jack Dupree', 'Slim Harpo', 'Elmore James', 'Robert Petway', 'Magic Sam', 'Jimmy Reed', 'Johnny Shines', 'Jimmy Rogers', 'Brownie McGhee', 'David ""Honeyboy"" Edwards', ""Lightnin' Hopkins and The Blues Summit"", 'Arthur ""Big Boy"" Crudup', 'Willie Dixon', 'Snooks Eaglin', 'T-Bone Walker', 'Sonny Boy Williamson I', 'Sonny Terry and Brownie McGhee']"
Lightning Bolt,"['Hella', 'Bygones', 'Daughters', 'Zach Hill', 'Oxbow', 'Dope Body', 'Moor Jewelry', 'Boris', 'Drive Like Jehu', 'Boredoms', 'Brainiac', 'Don Caballero', 'Breadwinner', 'Big Black', 'Black Eyes', 'Cherubs', 'Coughs', 'Blind Idiot God', 'Arab On Radar', 'Yowie']"
Lil Darkie,"['Brahman', 'LUKEBIKE', 'Afourteen', 'Chauncey666', 'BVDLVD', 'Nibxl', 'SPIDER GANG', 'CUBENSiS', 'Teenage Disaster', 'TXCKA', 'Yumi', 'MERCYKILL', 'nascar aloe', 'EDDISON', 'Wendigo', 'Killtak', 'MADJAX', 'Cxrpse', 'Artificial Reflection', 'DLC']"
Lil Peep,"['Lil Tracy', 'Nedarb', 'Horse Head', 'SinceWhen', 'Cold Hart', 'Hector Vae', 'Lederrick', 'ilyTOMMY', 'XXXTENTACION', 'Sowhatimdead', 'lagosta<3', '11-1 Music', '$uicideboy$', 'Gab3', 'Yunggoth✰', 'lagosta', 'Kyreax', 'suisside', 'Lil Xan', 'Parv0']"
Lil Tracy,"['Lil Peep', 'Nedarb', 'Horse Head', 'SinceWhen', 'Sowhatimdead', '11-1 Music', 'lagosta<3', 'Hector Vae', 'Cold Hart', 'Lederrick', 'Gab3', 'lagosta', 'ilyTOMMY', '$uicideboy$', 'lagostaah', 'Yunggoth✰', 'Kyreax', 'rich disease', 'XXXTENTACION', 'wtflagosta']"
Lil Uzi Vert,"['Trippie Redd', 'Young Thug', '21 Savage', 'YBN Nahmir', 'Tay-K', 'Nebu Kiniza', 'Playboi Carti', 'Travis Scott', 'Kodak Black', 'Offset', 'Chief Keef', 'Famous Dex', 'Lil Yachty', 'Baby Keem', 'Young Nudy', 'NAV', 'Metro Boomin', 'Lil Tecca', 'Ski Mask The Slump God', 'Juice WRLD']"
Lil Wayne,"['Young Money', '2 Chainz', 'Rick Ross', 'J. Cole', 'Waka Flocka Flame', 'Rich Gang', 'Mike WiLL Made-It', 'Meek Mill', 'Migos', 'A$AP Ferg', 'Gucci Mane', 'DJ Khaled', 'YG', 'Big Sean', 'Rae Sremmurd', 'Jay Rock', 'Bobby Shmurda', 'Fetty Wap', 'Drake', 'ScHoolboy Q']"
Lil' Kim,"['Mýa', 'Missy Elliott', 'Eve', ""Destiny's Child"", 'Ciara', 'Montell Jordan', 'Busta Rhymes', 'TLC', 'Salt-N-Pepa', 'Sisqo', 'Khia', 'Christina Milian', 'En Vogue', 'The Pussycat Dolls', 'Blackstreet', 'Mary J. Blige', 'Lumidee', 'Pras', 'Blu Cantrell', 'Kelly Rowland']"
Lillias White,"['Cheryl Freeman', 'LaChanze', 'Vaneese Thomas', 'Chorus - Hercules', 'Tawatha Agee', 'Roz Ryan', 'Harvey Fierstein', 'Jenifer Lewis', 'James Hong', 'Susan Egan', 'Anika Noni Rose', 'Roger Bart', 'Richard White', 'Chorus - Beauty And the Beast', 'Beth Fowler', 'Amy Adams', 'Chorus - Mulan', 'Jonathan Groff', 'Judy Kuhn', 'Lea Salonga']"
Lily Allen,"['KT Tunstall', 'Gwen Stefani', 'Duffy', 'Noisettes', 'Amy Winehouse', 'Scissor Sisters', 'Mark Ronson', 'Kate Nash', 'Florence + The Machine', 'The Ting Tings', 'No Doubt', 'Lorde', 'Corinne Bailey Rae', 'Nelly Furtado', 'The Cardigans', 'Eliza Doolittle', 'MIKA', 'Estelle', 'Natalie Imbruglia', 'Gabriella Cilmi']"
Lime Spiders,"['The Celibate Rifles', 'Screaming Tribesmen', 'The Eastern Dark', 'The Saints', 'Hitmen', 'The New Christs', 'Radio Birdman', 'Beasts Of Bourbon', 'Painters and Dockers', 'Exploding White Mice', 'The Meanies', 'The Stems', 'The Riptides', 'Bored', 'The Saints', 'Powder Monkeys', 'Hard-Ons', 'The Demics', 'Cosmic Psychos', 'Young Canadians']"
Limp Bizkit,"['The Rolling Stones', 'Derek & The Dominos', 'Cream', 'Led Zeppelin', 'Thin Lizzy', 'Free', 'The Kinks', 'Steppenwolf', 'T. Rex', 'Boston', 'Jimi Hendrix', 'Tom Petty and the Heartbreakers', 'Bachman-Turner Overdrive', 'Steve Miller Band', 'Mott The Hoople', 'Tom Petty', 'David Bowie', 'Buffalo Springfield', 'Yes', 'The Doors']"
Linda Ronstadt,"['Crystal Gayle', 'Charlie Rich', 'Dave Loggins', 'Dan Fogelberg', 'Gordon Lightfoot', 'Rita Coolidge', 'Captain & Tennille', 'JD Souther', 'Helen Reddy', 'Randy VanWarmer', 'Bonnie Raitt', 'Billy Vera & The Beaters', 'R.B. Greaves', 'The Jordanaires', 'Robert John', 'Judy Collins', 'Kenny Rogers', 'Vicki Lawrence', 'Starland Vocal Band', 'Orleans']"
Linda Thompson,"['Georgia Ruth', 'T Bone Burnett', 'Emma Swift', 'Marry Waterson', 'Landless', 'Niamh Bury', 'Trans Voices', 'Amelia Trance', 'Paul Armfield', 'Oisin Leech', 'Angeline Morrison', 'Ben Nicholls', 'Sonya Cohen Cramer', 'Muireann Bradley', 'Chris Brain', 'Kathryn Williams', 'Fiachna O Braonain', 'Amelia Coburn', 'Katherine Priddy', 'Gillian Welch']"
Lindisfarne,"['McGuinness Flint', 'Racing Cars', 'Justin Hayward', 'Arrival', 'Gallagher And Lyle', 'Chris Farlowe', 'Amsterdam', 'Hudson-Ford', 'Clifford T. Ward', 'The Move', 'Roger Daltrey', 'The Herd', 'The Humblebums', 'Kursaal Flyers', 'Prelude', 'Dean Friedman', 'Sad Café', ""Matthews' Southern Comfort"", 'Small Faces', 'John Lodge']"
Lindsay Lohan,"['Hilary Duff', 'Ashlee Simpson', 'Haylie Duff', 'Play', 'Willa Ford', 'Ashley Tisdale', 'No Secrets', 'Lillix', 'Skye Sweetnam', 'Cheyenne Kimball', 'Hope 7', 'Clique Girlz', 'Kristinia DeBarge', 'KSM', 'Dream', 'Joanna Pacitti', 'Hoku', 'Fefe Dobson', 'Jordan McCoy', ""Nobody's Angel""]"
Link Wray,"['Count Five', '? & The Mysterians', ""Howlin' Wolf"", '13th Floor Elevators', 'The Chambers Brothers', 'The Seeds', 'Junior Kimbrough', 'The Sonics', 'Bo Diddley', 'Link Wray & The Wraymen', ""Flamin' Groovies"", 'The Creation', 'The Hombres', 'The Modern Lovers', 'The Fugs', 'R.L. Burnside', 'The Yardbirds', 'Terry Reid', 'Canned Heat', 'Magic Sam And Shakey Jake']"
Linkin Park,"['Papa Roach', 'Thirty Seconds To Mars', 'Three Days Grace', 'Limp Bizkit', 'Evanescence', 'Bring Me The Horizon', 'System Of A Down', 'Drowning Pool', 'Alien Ant Farm', 'Slipknot', 'Disturbed', 'The Offspring', 'Sum 41', 'Avenged Sevenfold', 'Rise Against', 'Breaking Benjamin', 'Falling In Reverse', 'Green Day', 'SICK PUPPIES', 'P.O.D.']"
Lionel Hampton,"['Johnny Hodges', 'Coleman Hawkins', 'Teddy Wilson', 'Lester Young', 'Johnny Hodges & His Orchestra', 'Zoot Sims', 'Oscar Peterson', 'Tal Farlow', 'Don Byas', 'Junior Mance', 'Barney Kessel', 'Ben Webster', 'Benny Carter', 'Art Tatum', 'Earl Hines', 'Kenny Dorham', 'Charlie Parker Quartet', 'Billy Strayhorn', 'Coleman Hawkins Quartet', 'Dave Brubeck Trio']"
Lionel Richie,"['Michael Bolton', 'Jennifer Warnes', 'Paul Young', 'Chris de Burgh', 'Wet Wet Wet', 'Eric Carmen', 'Chicago', 'Whitney Houston', 'Richard Marx', 'Phil Collins', 'Tina Turner', 'Commodores', 'Peter Cetera', 'Christopher Cross', 'Simply Red', 'Rod Stewart', 'Patrick Swayze', 'Leo Sayer', 'Diana Ross', 'Dionne Warwick']"
Lionrock,"['Bentley Rhythm Ace', 'Freddy Fresh', 'Midfield General', 'Monkey Mafia', 'Ceasefire', 'E.T.A.', 'Cut La Roc', 'Definition Of Sound', 'Firstborn', 'Renegade Soundwave', 'Lo Fidelity Allstars', 'Les Rythmes Digitales', 'Coldcut', 'MC Tunes', 'The Wiseguys', 'Bomb The Bass', 'Treva Whateva', 'Fuzz Townshend', 'Leftfield', 'Schwab']"
Lisa Loeb,"['Renee & Friends', 'MFLP Players', 'Red Grammer', 'Renee & Jeremy', 'Angie Who', 'Shoshana Bush', 'Dan Zanes', 'Kath Bee', 'Amy D', 'Brady Rymer and the Little Band That Could', 'Dave Madden', 'Friends', 'Claudia Robin Gunn', 'Grenadilla', 'Tom Chapin', 'The Zing Zangs', 'Emily Arrow', 'Billy Jonas', 'Quincy Coleman', 'Alastair Moock']"
Lisa Loeb & Nine Stories,"['Paula Cole', 'Duncan Sheik', 'Sophie B. Hawkins', 'Sarah McLachlan', 'Jewel', 'Wilson Phillips', 'Bic Runga', 'Shawn Colvin', 'Jann Arden', 'Alanis Morissette', 'Chantal Kreviazuk', 'Shawn Mullins', 'Sheryl Crow', 'Gin Blossoms', 'Savage Garden', 'Frente!', 'Michelle Branch', 'The Corrs', '10,000 Maniacs', 'Vertical Horizon']"
Lisa Stansfield,"['Simply Red', 'Sananda Maitreya', 'Swing Out Sister', 'Stephanie Mills', 'Brenda Russell', 'Randy Crawford', 'Barry White', 'Diana Ross', 'Patti Austin', 'Patti LaBelle', 'Chaka Khan', 'Oleta Adams', 'The Chimes', 'Double', 'Ashford & Simpson', 'M People', 'Level 42', 'Matt Bianco', 'Mica Paris', 'David Grant']"
Lit,"['Odisseo', 'Technicolor Fabrics', 'Surfistas Del Sistema', 'Reyno', 'Young Tender', 'Porter', 'Siddhartha', 'Camilo Séptimo', 'DRIMS', 'Okills', 'Enjambre', 'Adanowsky', 'Comisario Pantera', 'Fármacos', 'Arawato', 'Valsian', 'Daniela Spalla', 'Juan Son', 'Fer Casillas', 'Los Concorde']"
Little Brother,"['Elzhi', 'Skyzoo and 9th Wonder', 'Hi-Tek', 'Kaze & 9th Wonder', 'Melanie Rutherford', 'Killer Ben', 'Freddie Gibbs & Statik Selektah', 'Cru', 'Common', 'Durag Dynasty', 'Jaylib', 'Truth Enola', 'Chauncey Black', 'Skyzoo', 'Chace Infinite', 'Ghostface Killah', 'One Be Lo', 'Blu & Exile', 'Black Milk', 'Median']"
Little Dragon,"['Kindness', 'Jai Paul', 'A. K. Paul', 'Unknown Mortal Orchestra', 'The Seshen', 'LA Priest', 'Silk Rhodes', 'Theophilus London', 'Kadhja Bonet', 'SBTRKT', 'Gabriel Garzón-Montano', 'Lil Silva', 'Sudan Archives', 'Biig Piig', 'Gayngs', 'sir Was', 'Nate Salman', 'Brazilian Girls', 'Bibio', 'The Avalanches']"
Little Eva,"['La La Brooks', 'Manfred Mann', 'Eddie Cochran', 'The Crystals', 'The Crickets', 'The McCoys', 'Sonny & Cher', ""Herman's Hermits"", 'Danny & The Juniors', 'Fats Domino', 'The Drifters', 'Buddy Holly', 'Del Shannon', 'Bruce Channel', 'Petula Clark', 'The Zodiacs', 'Maurice Williams', 'The Contours', 'Little Richard', 'The Shirelles']"
Little Feat,"['Stephen Stills', 'Leon Russell', 'Little', 'Hot Tuna', 'Gregg Allman', 'Wet Willie', 'Bob Weir', 'Manassas', 'Dickey Betts', 'Duane Allman', 'Taj Mahal', 'Hour Glass', 'The Radiators', 'Scott Boyer', 'New Riders of the Purple Sage', 'Widespread Panic', 'Merl Saunders', 'The Derek Trucks Band', 'David Bromberg', 'Phil Lesh & Communion']"
Little Joy,"['Devendra Banhart', 'Beirut', 'The Morning Benders', 'Henry Wolfe', 'Megapuss', 'Foxygen', 'Department Of Eagles', 'Girls', 'Trombone de Frutas', 'Poor Moon', 'Belle and Sebastian', 'Kings of Convenience', 'French Kicks', 'Ezra Koenig', 'Heartless Bastards', 'Hospitality', 'Lightspeed Champion', 'The Dodos', 'Clap Your Hands Say Yeah', 'Cass McCombs']"
Little Richard,"['Chuck Berry', 'Eddie Cochran', 'Bill Haley & His Comets', 'The Coasters', 'Jerry Lee Lewis', 'Fats Domino', 'Little Eva', 'Danny & The Juniors', 'The Marcels', 'Carl Perkins', 'The Crickets', 'Buddy Holly', 'Sam The Sham & The Pharaohs', 'Del Shannon', 'Dion', 'Larry Williams', 'The Troggs', 'The Champs', 'Barrett Strong', 'Wilson Pickett']"
Little River Band,"['Orleans', 'Gary Wright', 'Seals and Crofts', 'Firefall', 'Pablo Cruise', 'Atlanta Rhythm Section', 'Walter Egan', 'Boz Scaggs', 'Poco', 'Sanford Townsend Band', 'Climax Blues Band', 'Bob Welch', 'Paul Davis', 'Loggins & Messina', 'Players', 'Ambrosia', 'Robert John', 'Hamilton, Joe Frank & Reynolds', 'Sammy Johns', 'Jefferson Starship']"
Little Simz,"['Elyanna', 'CHIKA', 'JADE', 'SOAK', 'Oliver Sim', 'Milaa', 'Addison Rae', 'Cupidon', 'Sabrina Carpenter', 'Scott Hardkiss', 'Thisizlondon', 'Doechii', 'Charli xcx', 'Obongjayar', 'Daecolm', 'Myles Smith', 'Jamie xx', 'Quavo', 'Malachiii', 'Stryv']"
Little Walter,"['Sonny Boy Williamson II', 'Elmore James', 'Jimmy Reed', 'Muddy Waters', 'T-Bone Walker', 'Willie Dixon', 'Otis Rush', 'Champion Jack Dupree', 'Slim Harpo', 'Lowell Fulson', 'Jimmy Rogers', 'John Lee Hooker', ""Howlin' Wolf"", 'Junior Wells', 'Koko Taylor', ""Lightnin' Hopkins"", 'Bo Diddley', 'Freddie King', 'Magic Sam', 'J.B. Lenoir']"
Live,"['Bush', 'Collective Soul', 'Tonic', 'Temple Of The Dog', 'Pearl Jam', 'Candlebox', 'The Verve Pipe', 'Soul Asylum', 'Stone Temple Pilots', 'Blind Melon', 'Ugly Kid Joe', 'Seven Mary Three', 'Fuel', 'Silverchair', 'The Black Crowes', 'Days Of The New', 'Chris Cornell', 'Puddle Of Mudd', 'Crash Test Dummies', 'Gin Blossoms']"
Living Colour,"['Rage Against The Machine', 'Van Halen', 'Soundgarden', 'Stone Temple Pilots', 'Ozzy Osbourne', 'Velvet Revolver', 'Mountain', 'Metallica', 'Faith No More', 'Black Sabbath', 'Foo Fighters', 'Mötley Crüe', 'Alice In Chains', 'Alien Ant Farm', 'Audioslave', 'Pearl Jam', 'Blue Öyster Cult', 'Rush', 'Bush', 'Wolfmother']"
Living In A Box,"['ABC', 'Bros', 'Belouis Some', 'Level 42', 'Johnny Hates Jazz', 'Holly Johnson', 'Pepsi & Shirlie', 'Curiosity Killed The Cat', 'The Blow Monkeys', 'Mel & Kim', 'Howard Jones', 'Wax', 'Sydney Youngblood', 'Five Star', ""T'Pau"", 'Mai Tai', 'Robbie Nevil', 'Kim Appleby', 'Maria Vidal', 'Yazz']"
Liz Phair,"['Jill Sobule', 'The Juliana Hatfield Three', 'Bree Sharp', 'The Murmurs', 'Belly', 'Imperial Teen', 'Abra Moore', 'Luscious Jackson', 'Rilo Kiley', 'Love Spit Love', 'Juliana Hatfield', 'Stretch Princess', 'Letters To Cleo', 'Ape Hangers', 'Wild Strawberries', 'that dog.', 'Scout', 'Drill', 'Coyote Shivers', 'The Weekend']"
Lizzy McAlpine,"['Genevieve Stokes', 'Delaney Bailey', 'Ben Kessler', 'Phoebe Bridgers', 'Wasia Project', 'Gracie Abrams', 'boygenius', 'Katie Gregson-MacLeod', 'Noah Kahan', 'quinnie', 'Searows', 'Leith Ross', 'Sophie Holohan', 'FINNEAS', 'Tommy Lefroy', 'Jensen McRae', 'Mon Rovîa', 'Reneé Rapp', 'Chance Peña', 'Gary Lightbody']"
Lizzy Mercier Descloux,"['Maximum Joy', 'Essential Logic', 'Vivien Goldman', 'Chandra', 'Tesco Bombers', 'Family Fodder', 'Bush Tetras', 'Rexy', 'ESG', 'Spunky Onions', 'Peter Gordon & Love of Life Orchestra', 'The Jellies', 'Karen Marks', 'The Space Lady', 'Lives Of Angels', 'Saâda Bonaire', 'James White And The Blacks', 'Bona Dish', 'Mathématiques Modernes', 'Virna Lindt']"
Lloyd Cole,"['Roddy Frame', 'the Daintees', 'Lloyd Cole and the Commotions', 'Grant McLennan', 'Martin Stephenson', 'The Lilac Time', 'Kevin McDermott Orchestra', 'The Blue Aeroplanes', 'The Fat Lady Sings', 'World Party', 'Terry Hall', 'Shack', 'Ian McCulloch', 'The Big Dish', 'Bernard Butler', 'Baby Bird', 'The Finn Brothers', 'Cosmic Rough Riders', 'Diesel Park West', 'The Triffids']"
Lloyd Cole and the Commotions,"['Lloyd Cole', 'the Daintees', 'Julian Cope', 'Furniture', 'The House of Love', 'World Party', 'The Triffids', ""It's Immaterial"", 'The Colourfield', 'Aztec Camera', 'The Teardrop Explodes', 'A House', 'In Tua Nua', 'Prefab Sprout', 'The Housemartins', 'Terry, Blair & Anouchka', 'The Associates', 'Terry Hall', 'The Go-Betweens', 'Hipsway']"
Lloyd Price,"['Clarence ""Frogman"" Henry', 'Jimmy Jones', 'The Jarmels', 'Bobby Freeman', 'Frankie Ford', 'The Rays', 'Randy & The Rainbows', 'Johnny Burnette', 'Roy Hamilton', 'The Big Bopper', 'The Dovells', 'Shirley & Lee', 'The Diamonds', 'The Cadillacs', 'Buddy Knox', 'The Cleftones', 'The Bobbettes', 'Fats Domino', 'The Videos', 'Curtis Lee']"
Lobo,"['Randy VanWarmer', 'Rita Coolidge', 'Louie Smith', 'Anne Murray', 'Marmalade', 'Tony Orlando & Dawn', 'Captain & Tennille', 'Debby Boone', 'David Soul', 'Neil Sedaka', 'Rod Stewart', 'Bertie Higgins', 'Air Supply', 'Bobby Goldsboro', 'Cliff Richard', 'Leo Sayer', 'Mary MacGregor', 'Daniel Boone', 'Kenny Rogers', 'Bread']"
Local Natives,"['The Dig', 'Sjowgren', 'In The Valley Below', 'Day Wave', 'Houses', 'Geowulf', 'Generationals', 'Ra Ra Riot', 'STRFKR', 'Rostam', 'Twin Shadow', 'So Many Wizards', 'Night Moves', 'Sylvan Esso', 'Broken Bells', 'High Highs', 'Avid Dancer', 'The Apache Relay', 'JR JR', 'Vacationer']"
Loggins & Messina,"['Orleans', 'Pure Prairie League', 'James Taylor', 'Jackson Browne', 'Jonathan Edwards', 'Firefall', 'Sammy Johns', 'Gordon Lightfoot', 'Dave Mason', 'Little River Band', 'Dave Loggins', 'Three Dog Night', 'Starland Vocal Band', 'Poco', 'Seals and Crofts', 'B.W. Stevenson', 'Gary Wright', 'Stampeders', 'Walter Egan', 'Sanford Townsend Band']"
London After Midnight,"['Paralysed Age', 'Specimen', 'Mephisto Walz', 'Christian Death', 'Bloody Dead And Sexy', 'Diva Destruction', 'Scary Bitches', 'This Cold Night', 'Witching Hour', 'Radio Werewolf', 'Ghosting', 'The Cemetary Girlz', 'Horror Vacui', 'Suspiria', 'Bat Nouveau', 'Voodoo Church', 'Tears for the Dying', 'The March Violets', 'Skeletal Family', 'Sanguis et Cinis']"
London Funk Allstars,"['Knowtoryus', 'Howie B.', 'Freakniks', 'Small World', 'Attica Blues', 'Tek 9', 'DJ Food', 'Poets of Thought', 'Up, Bustle & Out', 'DJ Cam', 'Kruder & Dorfmeister', 'A Forest Mighty Black', 'Dynamic Syncopation', 'Major Force West E.M.S. Orchestra', 'Cujo', 'Fila Brazillia', 'DJ KRUSH', '9 Lazy 9', 'MAJOR FORCE PRODUCTIONS', 'A.P.E.']"
London Grammar,"['RY X', 'Christine and the Queens', 'SOHN', 'Fink', 'Blanco White', 'Michael Kiwanuka', 'Rae Morris', 'Låpsley', 'James Vincent McMorrow', 'Gemma Hayes', 'Charlie Cunningham', 'HAEVN', 'Agnes Obel', 'Oscar and the Wolf', 'Ben Howard', 'Angus & Julia Stone', ""David O'Dowda"", 'Parra for Cuva', 'Villagers', 'Nerina Pallot']"
LoneLady,"['Sink Ya Teeth', 'Mike Garry & Joe Duddell', 'Steve Mason', 'Shaun Ryder', 'King Biscuit Time', 'Eno • Hyde', 'The Asphodells', 'Loose Meat', 'Gwenno', 'The Asphodells (Andrew Weatherall & Timothy J Fairplay)', 'Friends', 'Number', ""Working Men's Club"", 'Museum Of Love', 'International Teachers Of Pop', 'Beyond The Wizards Sleeve', 'Whyte Horses', 'MARCEL KING', 'Sweet Baboo', 'NO ZU']"
Long Beach Dub Allstars,"['Long Beach Shortbus', 'Bargain Music', 'Tomorrows Bad Seeds', 'Pepper', 'Badfish', 'The Supervillains', 'Mike Pinto', 'Toko Tasi', 'Stone Senses', 'The B Foundation', 'Ras M.G.', 'Part One Tribe', 'Staylefish', 'Sabotage Soundsystem', 'Ashes of Babylon', 'HR', 'Passafire', 'Echo Movement', 'Diego Roots', 'Too Rude']"
Longpigs,"['The Bluetones', 'Echobelly', 'Gene', 'Inspiral Carpets', 'Menswear', 'Cast', 'The Seahorses', 'Marion', 'The Charlatans', 'Super Furry Animals', 'Kingmaker', 'Hurricane #1', 'Catatonia', 'Ash', 'The Boo Radleys', 'Dodgy', 'Ocean Colour Scene', 'Mansun', 'The Wonder Stuff', 'The Supernaturals']"
Lonnie Liston Smith,"['Bobbi Humphrey', 'Gene Harris', 'Ronnie Foster', 'Johnny ""Hammond"" Smith', 'Donald Byrd', 'Roy Ayers', 'Gary Bartz', 'RAMP', 'Leroy Hutson', 'David T. Walker', 'James Mason', 'Azymuth', 'Gap Mangione', 'The Blackbyrds', 'Catalyst', 'Jon Lucien', 'The Lyman Woodard Organization', 'Weldon Irvine', 'Dexter Wansel', 'Michael White']"
Lonyo,"['Monsta Boy', 'Dub Conspiracy', 'Tru Faith', 'Kele Le Roc', 'Architechs', '10 Below & Kele Le Roc', 'Wideboys', 'Jaimeson', 'Tina Moore', 'DJ Luck & MC Neat', 'Artful Dodger', 'Amar', 'M-Dubs', 'Sticky', 'So Solid Crew', 'Lovestation', 'B15 Project', 'DJ Pied Piper & The Masters Of Ceremonies', 'Future Underground Nation', 'Genius Cru']"
Loop Guru,"['Asana 1', 'Solar Quest', 'Sad World', 'Talvin Singh', 'Divination', 'Noodream', 'Paddy Free', 'Tabla Beat Science', 'Sacred System', 'Bob Holroyd', 'The Dum Dum Project', 'Terence McKenna', 'Another Fine Day', 'Asiatronic', 'Robert Musso', 'Magic Sound Fabric', 'Bombay Dub Orchestra', 'TORCH SONG', 'Neutron 9000', 'Red Buddha']"
Loose Ends,"['How Get', 'Warm', 'Fell Off', 'Claws and Organs', 'Kerpė Bežmogystė', 'greyland', 'Dead Family Dog', 'Butcher', 'Propaine', 'Penny Skint', 'Астма', 'Floating Cloud Music', 'Fouler', 'Crescent Ridge', 'Unstable Shapes', 'Tract', 'Tabla Rosa', 'Balloon Snake', 'CLUTCH KICK', 'Modern Rituals']"
Lootpack,"['J-Live', 'Jaylib', 'Peanut Butter Wolf', 'Jeru The Damaja', 'Charizma', 'O.C.', 'Tash', 'Juggaknots', 'Vast Aire', 'Hieroglyphics', 'Organized Konfusion', 'Percee P', 'Prince Paul', 'Large Professor', 'World Renown', 'Polyrhythm Addicts', 'SIAH', 'Freestyle Fellowship', 'Black Moon', 'Black Star']"
Lord Finesse,"['Grand Puba', 'Smif-N-Wessun', 'Miilkbone', 'Jamal', 'Large Professor', 'Black Moon', 'Gang Starr', 'O.C.', 'Pete Rock', 'dj honda', 'Artifacts', 'Shyheim', 'Jeru The Damaja', 'Group Home', 'Masta Ace', 'Afu-Ra', 'InI', 'Cru', 'Showbiz & A.G.', 'AZ']"
Lord Sitar,"['Big Jim Sullivan', 'Peter Thomas Sound Orchestra', 'Dieter Zimmermann', 'John Paul Jones', 'Elephants Memory', 'Peter Cook, Dudley Moore Trio', 'Mike Proctor', 'The Jefferson Handkerchief', 'Daisy Clan', ""Dantalian's Chariot"", 'Mike Vickers', 'Mystic Moods Orchestra', 'Boeing Duveen & The Beautiful Soup', 'Cherry People', 'The Animated Egg', 'Boeing Duven & The Beautiful Soup', 'Phil Clinton', 'Cherry Wainer', 'The Bonzo Dog Band', 'Topo-D-Bill']"
Lorde,"['Florence + The Machine', 'BØRNS', 'St. Vincent', 'GROUPLOVE', 'Tove Lo', 'Lana Del Rey', 'King Princess', 'HAIM', 'Hozier', 'Bleachers', 'WILLOW', 'Noah Cyrus', 'Declan McKenna', 'Troye Sivan', 'Lykke Li', 'Of Monsters and Men', 'Sky Ferreira', 'Young the Giant', 'girl in red', 'Harry Styles']"
Lords Of Acid,"['My Life With The Thrill Kill Kult', 'Revolting Cocks', 'Sister Machine Gun', 'Sheep On Drugs', 'The Gruesome Twosome', 'Dirty Sanchez', 'Pzychobitch', 'MDFMK', 'PTP', 'Prick', 'ohGr', 'Razed In Black', 'Slick Idiot', 'Velvet Acid Christ', 'Cubanate', 'Zombie Girl', 'Excessive Force', 'Bigod 20', 'Hate Dept.', 'Contagion']"
Lords Of The New Church,"['Belfegore', 'Theatre Of Hate', 'Rose Of Avalanche', 'Death Cult', 'The Southern Death Cult', 'Daniel Ash', 'Fad Gadget', 'The Sound', 'Killing Joke', 'Cult Hero', 'Tones On Tail', 'Balaam And The Angel', 'The Multicoloured Shades', 'Danielle Dax', 'Public Image Ltd.', 'The Mission', 'The Sisterhood', 'Red Lorry Yellow Lorry', 'The Chameleons', 'Department S']"
Lords Of The Underground,"['Das EFX', 'Blahzay Blahzay', 'Smif-N-Wessun', 'Jeru The Damaja', 'MC Serch', 'Poor Righteous Teachers', 'Nine', 'EPMD', 'Redman', 'Group Home', 'Funkdoobiest', 'Big Daddy Kane', 'Afu-Ra', 'FU-Schnickens', 'Channel Live', 'Showbiz & A.G.', 'Onyx', 'Artifacts', 'Shyheim', 'Kool G Rap']"
Loretta Lynn,"['Tom T. Hall', 'George Jones', 'Buck Owens', 'Jeannie C. Riley', 'Bobby Bare', 'Charley Pride', 'Merle Haggard', 'Kitty Wells', 'Conway Twitty', 'The Oak Ridge Boys', 'Henson Cargill', 'Buck Owens & The Buckaroos', 'Faron Young', 'Tammy Wynette', 'Lefty Frizzell', 'Hank Williams', 'Johnny Paycheck', 'Johnny Rodriguez', 'Tanya Tucker', 'David Frizzell']"
Los Espiritus,"['Morbo y Mambo', 'Prietto', 'Las Sombras', 'Los Siberianos', 'Luca Prodan', 'Spinetta, García, Ferrón', 'Las Luces Primeras', 'Fother Muckers', 'Algodón', 'Prietto Viaja al Cosmos con Mariano', 'Sig Ragga', 'Carca', 'Fernando Milagros', 'Julio y Agosto', 'Eric Mandarina', 'No Lo Soporto', 'Fonso', 'Alerta Pachuca', 'Los Mutantes del Paraná', 'Gustavo Pena - El Príncipe']"
Los Pericos,"['Los Cafres', 'Los Fabulosos Cadillacs', 'Gondwana', 'Los Auténticos Decadentes', 'KLUB', 'King Chango', 'La Zimbabwe', 'Nonpalidece', 'Fidel Nadal', 'Kameleba', 'Quique Neira', 'Los Caligaris', 'Aterciopelados', 'Vilma Palma e Vampiros', 'Dread Mar I', 'Bahiano', 'Vicentico', 'Bersuit Vergarabat', 'Soda Stereo', 'Cultura Profética']"
Lotus Plaza,"['Atlas Sound', 'A Sunny Day In Glasgow', 'Weird Dreams', 'Papercuts', 'Posse', 'Weekend', 'Abe Vigoda', 'Miracle Fortress', 'Ganglians', 'Deerhunter', 'Echo Lake', 'Lower Dens', 'Eternal Summers', 'Yuck', 'Merchandise', 'Hebronix', 'Violens', 'Cheatahs', 'Bored Nothing', 'The Fresh & Onlys']"
